Iteration, E, landmarkAv, landmarkMax, landmarkSTD
0,17.7594,0,0,0
1,17.7511,0,0,0
2,17.7409,0,0,0
3,17.731,0,0,0
4,17.7181,0,0,0
5,17.7075,0,0,0
6,17.701,0,0,0
7,17.6907,0,0,0
8,17.6847,0,0,0
9,17.6779,0,0,0
10,17.2061,0,0,0
11,17.1973,0,0,0
12,17.1857,0,0,0
13,17.1773,0,0,0
14,17.1689,0,0,0
15,17.1578,0,0,0
16,17.1509,0,0,0
17,17.14,0,0,0
18,17.1302,0,0,0
19,17.1227,0,0,0
20,17.2657,0,0,0
21,17.2646,0,0,0
22,17.2617,0,0,0
23,17.2528,0,0,0
24,17.2471,0,0,0
25,17.2385,0,0,0
26,17.23,0,0,0
27,17.2217,0,0,0
28,17.2145,0,0,0
29,17.2083,0,0,0
30,16.7877,0,0,0
31,16.7828,0,0,0
32,16.7749,0,0,0
33,16.7681,0,0,0
34,16.7625,0,0,0
35,16.756,0,0,0
36,16.7496,0,0,0
37,16.7422,0,0,0
38,16.7339,0,0,0
39,16.7298,0,0,0
40,16.7862,0,0,0
41,16.7802,0,0,0
42,16.7723,0,0,0
43,16.766,0,0,0
44,16.7605,0,0,0
45,16.7526,0,0,0
46,16.7482,0,0,0
47,16.7414,0,0,0
48,16.736,0,0,0
49,16.7311,0,0,0
50,16.3898,0,0,0
51,16.3825,0,0,0
52,16.3775,0,0,0
53,16.3727,0,0,0
54,16.3657,0,0,0
55,16.3631,0,0,0
56,16.3563,0,0,0
57,16.3506,0,0,0
58,16.343,0,0,0
59,16.3385,0,0,0
60,15.8784,0,0,0
61,15.878,0,0,0
62,15.8707,0,0,0
63,15.8684,0,0,0
64,15.8643,0,0,0
65,15.8622,0,0,0
66,15.8571,0,0,0
67,15.8541,0,0,0
68,15.8493,0,0,0
69,15.8454,0,0,0
70,15.9602,0,0,0
71,15.9575,0,0,0
72,15.9548,0,0,0
73,15.9502,0,0,0
74,15.9476,0,0,0
75,15.943,0,0,0
76,15.9396,0,0,0
77,15.9351,0,0,0
78,15.9307,0,0,0
79,15.9233,0,0,0
80,15.5563,0,0,0
81,15.5511,0,0,0
82,15.5499,0,0,0
83,15.5478,0,0,0
84,15.5457,0,0,0
85,15.5437,0,0,0
86,15.5407,0,0,0
87,15.5358,0,0,0
88,15.5319,0,0,0
89,15.5281,0,0,0
90,15.2098,0,0,0
91,15.207,0,0,0
92,15.2042,0,0,0
93,15.2004,0,0,0
94,15.1978,0,0,0
95,15.1942,0,0,0
96,15.1906,0,0,0
97,15.1879,0,0,0
98,15.1863,0,0,0
99,15.1858,0,0,0
100,15.2838,0,0,0
101,15.2815,0,0,0
102,15.2781,0,0,0
103,15.2767,0,0,0
104,15.2725,0,0,0
105,15.2693,0,0,0
106,15.2651,0,0,0
107,15.2619,0,0,0
108,15.2577,0,0,0
109,15.2556,0,0,0
110,15.3084,0,0,0
111,15.3053,0,0,0
112,15.3022,0,0,0
113,15.3002,0,0,0
114,15.2962,0,0,0
115,15.2932,0,0,0
116,15.2903,0,0,0
117,15.2873,0,0,0
118,15.2865,0,0,0
119,15.2846,0,0,0
120,15.5192,0,0,0
121,15.5155,0,0,0
122,15.5117,0,0,0
123,15.509,0,0,0
124,15.5054,0,0,0
125,15.5037,0,0,0
126,15.5031,0,0,0
127,15.5005,0,0,0
128,15.4979,0,0,0
129,15.4964,0,0,0
130,15.1661,0,0,0
131,15.1636,0,0,0
132,15.164,0,0,0
133,15.1615,0,0,0
134,15.1609,0,0,0
135,15.1595,0,0,0
136,15.157,0,0,0
137,15.1536,0,0,0
138,15.1522,0,0,0
139,15.1508,0,0,0
140,15.1605,0,0,0
141,15.1581,0,0,0
142,15.1538,0,0,0
143,15.1505,0,0,0
144,15.1502,0,0,0
145,15.1489,0,0,0
146,15.1476,0,0,0
147,15.1444,0,0,0
148,15.1462,0,0,0
149,15.145,0,0,0
150,15.3135,0,0,0
151,15.3125,0,0,0
152,15.3133,0,0,0
153,15.3112,0,0,0
154,15.3082,0,0,0
155,15.3061,0,0,0
156,15.304,0,0,0
157,15.302,0,0,0
158,15.3031,0,0,0
159,15.3011,0,0,0
160,14.5674,0,0,0
161,14.5652,0,0,0
162,14.5639,0,0,0
163,14.5617,0,0,0
164,14.5607,0,0,0
165,14.5594,0,0,0
166,14.5573,0,0,0
167,14.5552,0,0,0
168,14.5534,0,0,0
169,14.5524,0,0,0
170,15.1684,0,0,0
171,15.1676,0,0,0
172,15.1658,0,0,0
173,15.164,0,0,0
174,15.1621,0,0,0
175,15.1613,0,0,0
176,15.1595,0,0,0
177,15.1578,0,0,0
178,15.156,0,0,0
179,15.1533,0,0,0
180,14.5243,0,0,0
181,14.5244,0,0,0
182,14.5274,0,0,0
183,14.5265,0,0,0
184,14.5235,0,0,0
185,14.5225,0,0,0
186,14.5205,0,0,0
187,14.5204,0,0,0
188,14.5184,0,0,0
189,14.5164,0,0,0
190,14.3693,0,0,0
191,14.3673,0,0,0
192,14.3642,0,0,0
193,14.3622,0,0,0
194,14.361,0,0,0
195,14.3571,0,0,0
196,14.3551,0,0,0
197,14.3532,0,0,0
198,14.3522,0,0,0
199,14.3513,0,0,0
200,14.615,0,0,0
201,14.6102,0,0,0
202,14.6007,0,0,0
203,14.5965,0,0,0
204,14.5912,0,0,0
205,14.5854,0,0,0
206,14.5824,0,0,0
207,14.5755,0,0,0
208,14.5689,0,0,0
209,14.565,0,0,0
210,14.2444,0,0,0
211,14.2379,0,0,0
212,14.2332,0,0,0
213,14.2297,0,0,0
214,14.2264,0,0,0
215,14.2242,0,0,0
216,14.2181,0,0,0
217,14.2112,0,0,0
218,14.2064,0,0,0
219,14.1996,0,0,0
220,14.0124,0,0,0
221,14.0067,0,0,0
222,14.0023,0,0,0
223,13.9975,0,0,0
224,13.9933,0,0,0
225,13.9881,0,0,0
226,13.9838,0,0,0
227,13.9794,0,0,0
228,13.9753,0,0,0
229,13.9676,0,0,0
230,13.6885,0,0,0
231,13.6816,0,0,0
232,13.6776,0,0,0
233,13.6717,0,0,0
234,13.6659,0,0,0
235,13.6611,0,0,0
236,13.6554,0,0,0
237,13.6535,0,0,0
238,13.6461,0,0,0
239,13.6433,0,0,0
240,13.7083,0,0,0
241,13.706,0,0,0
242,13.7043,0,0,0
243,13.6993,0,0,0
244,13.6954,0,0,0
245,13.6923,0,0,0
246,13.6905,0,0,0
247,13.6867,0,0,0
248,13.6825,0,0,0
249,13.68,0,0,0
250,13.3494,0,0,0
251,13.3494,0,0,0
252,13.3463,0,0,0
253,13.3438,0,0,0
254,13.3403,0,0,0
255,13.3373,0,0,0
256,13.3339,0,0,0
257,13.3348,0,0,0
258,13.3289,0,0,0
259,13.3246,0,0,0
260,13.3852,0,0,0
261,13.3819,0,0,0
262,13.3795,0,0,0
263,13.3744,0,0,0
264,13.3703,0,0,0
265,13.3673,0,0,0
266,13.3623,0,0,0
267,13.3593,0,0,0
268,13.3592,0,0,0
269,13.3544,0,0,0
270,12.8854,0,0,0
271,12.8808,0,0,0
272,12.8788,0,0,0
273,12.874,0,0,0
274,12.8701,0,0,0
275,12.867,0,0,0
276,12.8656,0,0,0
277,12.8634,0,0,0
278,12.863,0,0,0
279,12.8594,0,0,0
280,12.8491,0,0,0
281,12.8456,0,0,0
282,12.8403,0,0,0
283,12.8386,0,0,0
284,12.836,0,0,0
285,12.8326,0,0,0
286,12.8312,0,0,0
287,12.8286,0,0,0
288,12.8245,0,0,0
289,12.8193,0,0,0
290,13.1553,0,0,0
291,13.1522,0,0,0
292,13.1538,0,0,0
293,13.1517,0,0,0
294,13.1506,0,0,0
295,13.1486,0,0,0
296,13.1456,0,0,0
297,13.1427,0,0,0
298,13.1408,0,0,0
299,13.1361,0,0,0
300,12.9021,0,0,0
301,12.8993,0,0,0
302,12.8964,0,0,0
303,12.8928,0,0,0
304,12.8918,0,0,0
305,12.89,0,0,0
306,12.8872,0,0,0
307,12.8845,0,0,0
308,12.8809,0,0,0
309,12.8782,0,0,0
310,12.5368,0,0,0
311,12.5347,0,0,0
312,12.5309,0,0,0
313,12.5281,0,0,0
314,12.5255,0,0,0
315,12.5227,0,0,0
316,12.5217,0,0,0
317,12.5198,0,0,0
318,12.5187,0,0,0
319,12.5152,0,0,0
320,13.1817,0,0,0
321,13.1806,0,0,0
322,13.1783,0,0,0
323,13.1749,0,0,0
324,13.1735,0,0,0
325,13.1724,0,0,0
326,13.1721,0,0,0
327,13.1699,0,0,0
328,13.167,0,0,0
329,13.1638,0,0,0
330,13.0099,0,0,0
331,13.0099,0,0,0
332,13.0059,0,0,0
333,13.0049,0,0,0
334,13.0038,0,0,0
335,13.0036,0,0,0
336,13.0026,0,0,0
337,13.0017,0,0,0
338,12.9997,0,0,0
339,12.9966,0,0,0
340,12.3908,0,0,0
341,12.3902,0,0,0
342,12.387,0,0,0
343,12.3856,0,0,0
344,12.3833,0,0,0
345,12.381,0,0,0
346,12.3805,0,0,0
347,12.3783,0,0,0
348,12.3761,0,0,0
349,12.3739,0,0,0
350,12.6189,0,0,0
351,12.6169,0,0,0
352,12.6166,0,0,0
353,12.6146,0,0,0
354,12.6153,0,0,0
355,12.6133,0,0,0
356,12.6131,0,0,0
357,12.6094,0,0,0
358,12.6065,0,0,0
359,12.6056,0,0,0
360,12.3801,0,0,0
361,12.3789,0,0,0
362,12.3761,0,0,0
363,12.3751,0,0,0
364,12.3742,0,0,0
365,12.3738,0,0,0
366,12.3726,0,0,0
367,12.369,0,0,0
368,12.3673,0,0,0
369,12.3662,0,0,0
370,12.6455,0,0,0
371,12.643,0,0,0
372,12.6414,0,0,0
373,12.6398,0,0,0
374,12.6381,0,0,0
375,12.6355,0,0,0
376,12.6349,0,0,0
377,12.6344,0,0,0
378,12.6349,0,0,0
379,12.6345,0,0,0
380,12.415,0,0,0
381,12.4133,0,0,0
382,12.4106,0,0,0
383,12.4089,0,0,0
384,12.408,0,0,0
385,12.4063,0,0,0
386,12.4055,0,0,0
387,12.4056,0,0,0
388,12.4048,0,0,0
389,12.4022,0,0,0
390,12.236,0,0,0
391,12.2343,0,0,0
392,12.2326,0,0,0
393,12.2309,0,0,0
394,12.23,0,0,0
395,12.2267,0,0,0
396,12.226,0,0,0
397,12.2243,0,0,0
398,12.2226,0,0,0
399,12.2209,0,0,0
400,12.4127,0,0,0
401,12.4037,0,0,0
402,12.3965,0,0,0
403,12.3892,0,0,0
404,12.3829,0,0,0
405,12.3742,0,0,0
406,12.3672,0,0,0
407,12.3614,0,0,0
408,12.3536,0,0,0
409,12.3465,0,0,0
410,12.2055,0,0,0
411,12.1997,0,0,0
412,12.1914,0,0,0
413,12.1843,0,0,0
414,12.1777,0,0,0
415,12.1686,0,0,0
416,12.1632,0,0,0
417,12.1562,0,0,0
418,12.1493,0,0,0
419,12.1415,0,0,0
420,11.6331,0,0,0
421,11.6265,0,0,0
422,11.6187,0,0,0
423,11.6113,0,0,0
424,11.6023,0,0,0
425,11.5949,0,0,0
426,11.5892,0,0,0
427,11.5818,0,0,0
428,11.5755,0,0,0
429,11.568,0,0,0
430,11.5472,0,0,0
431,11.5399,0,0,0
432,11.532,0,0,0
433,11.5258,0,0,0
434,11.5203,0,0,0
435,11.5117,0,0,0
436,11.5089,0,0,0
437,11.5036,0,0,0
438,11.4964,0,0,0
439,11.4891,0,0,0
440,11.749,0,0,0
441,11.7464,0,0,0
442,11.742,0,0,0
443,11.7366,0,0,0
444,11.7312,0,0,0
445,11.7261,0,0,0
446,11.7228,0,0,0
447,11.7181,0,0,0
448,11.7129,0,0,0
449,11.7063,0,0,0
450,11.2844,0,0,0
451,11.279,0,0,0
452,11.2755,0,0,0
453,11.2702,0,0,0
454,11.2652,0,0,0
455,11.262,0,0,0
456,11.2563,0,0,0
457,11.2502,0,0,0
458,11.2435,0,0,0
459,11.238,0,0,0
460,11.1203,0,0,0
461,11.1156,0,0,0
462,11.1109,0,0,0
463,11.1054,0,0,0
464,11.0998,0,0,0
465,11.0952,0,0,0
466,11.0916,0,0,0
467,11.088,0,0,0
468,11.0836,0,0,0
469,11.0764,0,0,0
470,11.0492,0,0,0
471,11.0473,0,0,0
472,11.0449,0,0,0
473,11.0406,0,0,0
474,11.0364,0,0,0
475,11.0312,0,0,0
476,11.026,0,0,0
477,11.0219,0,0,0
478,11.0192,0,0,0
479,11.0152,0,0,0
480,10.6773,0,0,0
481,10.6722,0,0,0
482,10.6678,0,0,0
483,10.6627,0,0,0
484,10.6592,0,0,0
485,10.6549,0,0,0
486,10.649,0,0,0
487,10.6439,0,0,0
488,10.638,0,0,0
489,10.6337,0,0,0
490,10.803,0,0,0
491,10.7974,0,0,0
492,10.7967,0,0,0
493,10.7921,0,0,0
494,10.7884,0,0,0
495,10.7831,0,0,0
496,10.7809,0,0,0
497,10.7772,0,0,0
498,10.7711,0,0,0
499,10.7659,0,0,0
500,10.5336,0,0,0
501,10.5291,0,0,0
502,10.5271,0,0,0
503,10.5218,0,0,0
504,10.5166,0,0,0
505,10.5122,0,0,0
506,10.5078,0,0,0
507,10.5034,0,0,0
508,10.4997,0,0,0
509,10.4954,0,0,0
510,10.42,0,0,0
511,10.4156,0,0,0
512,10.4129,0,0,0
513,10.4079,0,0,0
514,10.4061,0,0,0
515,10.4028,0,0,0
516,10.3986,0,0,0
517,10.3945,0,0,0
518,10.3888,0,0,0
519,10.3831,0,0,0
520,10.4858,0,0,0
521,10.4836,0,0,0
522,10.4807,0,0,0
523,10.4777,0,0,0
524,10.474,0,0,0
525,10.4703,0,0,0
526,10.4684,0,0,0
527,10.4647,0,0,0
528,10.4618,0,0,0
529,10.4589,0,0,0
530,10.3674,0,0,0
531,10.3646,0,0,0
532,10.3627,0,0,0
533,10.3598,0,0,0
534,10.3562,0,0,0
535,10.3541,0,0,0
536,10.3505,0,0,0
537,10.3476,0,0,0
538,10.3457,0,0,0
539,10.3422,0,0,0
540,10.3473,0,0,0
541,10.3454,0,0,0
542,10.3428,0,0,0
543,10.3393,0,0,0
544,10.3351,0,0,0
545,10.3333,0,0,0
546,10.3315,0,0,0
547,10.329,0,0,0
548,10.3257,0,0,0
549,10.3232,0,0,0
550,10.3993,0,0,0
551,10.3973,0,0,0
552,10.3951,0,0,0
553,10.3922,0,0,0
554,10.3884,0,0,0
555,10.3855,0,0,0
556,10.3835,0,0,0
557,10.3815,0,0,0
558,10.3786,0,0,0
559,10.375,0,0,0
560,9.96458,0,0,0
561,9.96124,0,0,0
562,9.95637,0,0,0
563,9.9522,0,0,0
564,9.94888,0,0,0
565,9.94641,0,0,0
566,9.94453,0,0,0
567,9.94128,0,0,0
568,9.93888,0,0,0
569,9.93805,0,0,0
570,9.97498,0,0,0
571,9.97183,0,0,0
572,9.96946,0,0,0
573,9.96555,0,0,0
574,9.96249,0,0,0
575,9.95946,0,0,0
576,9.95571,0,0,0
577,9.95353,0,0,0
578,9.9514,0,0,0
579,9.94771,0,0,0
580,9.85527,0,0,0
581,9.85227,0,0,0
582,9.85085,0,0,0
583,9.84717,0,0,0
584,9.84575,0,0,0
585,9.84371,0,0,0
586,9.84086,0,0,0
587,9.83877,0,0,0
588,9.83596,0,0,0
589,9.83235,0,0,0
590,10.2123,0,0,0
591,10.2098,0,0,0
592,10.2074,0,0,0
593,10.2035,0,0,0
594,10.2014,0,0,0
595,10.1992,0,0,0
596,10.197,0,0,0
597,10.1941,0,0,0
598,10.1929,0,0,0
599,10.1916,0,0,0
